# algorithm=k-means++
# SSE=0.079751
# Silhouette=0.185365
# time_ms=94
# representatives:
# cluster 0 -> centro_0 (nearest=imp_378, dist=0.008795)
# cluster 1 -> centro_1 (nearest=imp_237, dist=0.009219)
Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,clusterId
LP001449,0,1,0,0,1,3865,1640,,360,1,2,0,0
LP001451,0,0,1,0,0,10513,3850,160,180,0,0,1,1
LP001465,0,0,0,0,1,6080,2569,182,360,,2,1,1
LP001469,0,1,0,0,0,20166,0,650,480,,0,0,0
LP001473,0,1,0,0,1,2014,1929,74,360,1,0,0,0
LP001478,0,1,0,0,1,2718,0,70,360,1,1,0,0
LP001482,0,0,0,0,0,3459,0,25,120,1,1,0,0
LP001487,0,1,0,0,1,4895,0,102,360,1,1,0,0
LP001488,0,0,3,0,1,4000,7750,290,360,1,1,1,1
LP001489,1,0,0,0,1,4583,0,84,360,1,2,1,1
LP001491,0,0,2,0,0,3316,3500,88,360,1,0,0,0
LP001492,0,1,0,0,1,14999,0,242,360,0,1,1,1
LP001493,0,0,2,1,1,4200,1430,129,360,1,2,1,1
LP001497,0,0,2,0,1,5042,2083,185,360,1,2,1,1
LP001498,0,1,0,0,1,5417,0,168,360,1,0,0,0
LP001504,0,1,0,0,0,6950,0,175,180,1,1,0,0
LP001507,0,0,0,0,1,2698,2034,122,360,1,1,0,0
LP001508,0,0,2,0,1,11757,0,187,180,1,0,0,0
LP001514,1,0,0,0,1,2330,4486,100,360,1,1,0,0
LP001516,1,0,2,0,1,14866,0,70,360,1,0,0,0
LP001518,0,0,1,0,1,1538,1425,30,360,1,0,0,0
LP001519,1,1,0,0,1,10000,1666,225,360,1,2,1,1
LP001520,0,0,0,0,1,4860,830,125,360,1,1,0,0
LP001528,0,1,0,0,1,6277,0,118,360,0,2,1,1
LP001529,0,0,0,0,0,2577,3750,152,360,1,2,0,0
LP001531,0,1,0,0,1,9166,0,244,360,1,0,1,1
LP001532,0,0,2,1,1,2281,0,113,360,1,2,1,1
LP001535,0,1,0,0,1,3254,0,50,360,1,0,0,0
LP001536,0,0,3,0,1,39999,0,600,180,0,1,0,0
LP001541,0,0,1,0,1,6000,0,160,360,,2,0,0
LP001543,0,0,1,0,1,9538,0,187,360,1,0,0,0
LP001546,0,1,0,0,,2980,2083,120,360,1,2,0,0
LP001552,0,0,0,0,1,4583,5625,255,360,1,1,0,0
LP001560,0,0,0,1,1,1863,1041,98,360,1,1,0,0
LP001562,0,0,0,0,1,7933,0,275,360,1,0,1,1
LP001565,0,0,1,0,1,3089,1280,121,360,0,1,1,1
LP001570,0,0,2,0,1,4167,1447,158,360,1,2,0,0
LP001572,0,0,0,0,1,9323,0,75,180,1,0,0,0
LP001574,0,0,0,0,1,3707,3166,182,,1,2,0,0
LP001577,1,0,0,0,1,4583,0,112,360,1,2,1,1
LP001578,0,0,0,0,1,2439,3333,129,360,1,2,0,0
LP001579,0,1,0,0,1,2237,0,63,480,0,1,1,1
LP001580,0,0,2,0,1,8000,0,200,360,1,1,0,0
LP001581,0,0,0,1,,1820,1769,95,360,1,2,0,0
LP001585,,0,3,0,1,51763,0,700,300,1,0,0,0
LP001586,0,0,3,1,1,3522,0,81,180,1,2,1,1
LP001594,0,0,0,0,1,5708,5625,187,360,1,1,0,0
LP001603,0,0,0,1,0,4344,736,87,360,1,1,1,1
LP001606,0,0,0,0,1,3497,1964,116,360,1,2,0,0
LP001608,0,0,2,0,1,2045,1619,101,360,1,2,0,0
LP001610,0,0,3,0,1,5516,11300,495,360,0,1,1,1
LP001616,0,0,1,0,1,3750,0,116,360,1,1,0,0
LP001630,0,1,0,1,1,2333,1451,102,480,0,0,1,1
LP001633,0,0,1,0,1,6400,7250,180,360,0,0,1,1
LP001634,0,1,0,0,1,1916,5063,67,360,,2,1,1
LP001636,0,0,0,0,1,4600,0,73,180,1,1,0,0
LP001637,0,0,1,0,1,33846,0,260,360,1,1,1,1
LP001639,1,0,0,0,1,3625,0,108,360,1,1,0,0
LP001640,0,0,0,0,0,39147,4750,120,360,1,1,0,0
LP001641,0,0,1,0,0,2178,0,66,300,0,2,1,1
LP001643,0,0,0,0,1,2383,2138,58,360,,2,0,0
LP001644,,0,0,0,0,674,5296,168,360,1,2,0,0
LP001647,0,0,0,0,1,9328,0,188,180,1,2,0,0
LP001653,0,1,0,1,1,4885,0,48,360,1,2,0,0
LP001656,0,1,0,0,1,12000,0,164,360,1,1,1,1
LP001657,0,0,0,1,1,6033,0,160,360,1,0,1,1
LP001658,0,1,0,0,1,3858,0,76,360,1,1,0,0
LP001664,0,1,0,0,1,4191,0,120,360,1,2,0,0
LP001665,0,0,1,0,1,3125,2583,170,360,1,1,1,1
LP001666,0,1,0,0,1,8333,3750,187,360,1,2,0,0
LP001669,1,1,0,1,1,1907,2365,120,,1,0,0,0
LP001671,1,0,0,0,1,3416,2816,113,360,,1,0,0
LP001673,0,1,0,0,0,11000,0,83,360,1,0,1,1
LP001674,0,0,1,1,1,2600,2500,90,360,1,1,0,0
LP001677,0,1,2,0,1,4923,0,166,360,0,1,0,0
LP001682,0,0,3,1,1,3992,0,,180,1,0,1,1
LP001688,0,0,1,1,1,3500,1083,135,360,1,0,0,0
LP001691,0,0,2,1,1,3917,0,124,360,1,1,0,0
LP001692,1,1,0,1,1,4408,0,120,360,1,1,0,0
LP001693,1,1,0,0,1,3244,0,80,360,1,0,0,0
LP001698,0,1,0,1,1,3975,2531,55,360,1,2,0,0
LP001699,0,1,0,0,1,2479,0,59,360,1,0,0,0
LP001702,0,1,0,0,1,3418,0,127,360,1,1,1,1
LP001708,1,1,0,0,1,10000,0,214,360,1,1,1,1
LP001711,0,0,3,0,1,3430,1250,128,360,0,1,1,1
LP001713,0,0,1,0,0,7787,0,240,360,1,0,0,0
LP001715,0,0,3,1,0,5703,0,130,360,1,2,0,0
LP001716,0,0,0,0,1,3173,3021,137,360,1,0,0,0
LP001720,0,0,3,1,1,3850,983,100,360,1,1,0,0
LP001722,0,0,0,0,1,150,1800,135,360,1,2,1,1
LP001726,0,0,0,0,1,3727,1775,131,360,1,1,0,0
LP001732,0,0,2,0,,5000,0,72,360,0,1,1,1
LP001734,1,0,2,0,1,4283,2383,127,360,,1,0,0
LP001736,0,0,0,0,1,2221,0,60,360,0,0,1,1
LP001743,0,0,2,0,1,4009,1717,116,360,1,1,0,0
LP001744,0,1,0,0,1,2971,2791,144,360,1,1,0,0
LP001749,0,0,0,0,1,7578,1010,175,,1,1,0,0
LP001750,0,0,0,0,1,6250,0,128,360,1,1,0,0
LP001751,0,0,0,0,1,3250,0,170,360,1,2,1,1
LP001754,0,0,,1,0,4735,0,138,360,1,0,1,1
LP001758,0,0,2,0,1,6250,1695,210,360,1,1,0,0
LP001760,0,,,0,1,4758,0,158,480,1,1,0,0
LP001761,0,1,0,0,0,6400,0,200,360,1,2,0,0
LP001765,0,0,1,0,1,2491,2054,104,360,1,1,0,0
LP001768,0,0,0,0,,3716,0,42,180,1,2,0,0
LP001770,0,1,0,1,1,3189,2598,120,,1,2,0,0
LP001776,1,1,0,0,1,8333,0,280,360,1,1,0,0
LP001778,0,0,1,0,1,3155,1779,140,360,1,1,0,0
LP001784,0,0,1,0,1,5500,1260,170,360,1,2,0,0
LP001786,0,0,0,0,,5746,0,255,360,,0,1,1
LP001788,1,1,0,0,0,3463,0,122,360,,0,0,0
LP001790,1,1,1,0,1,3812,0,112,360,1,2,0,0
LP001792,0,0,1,0,1,3315,0,96,360,1,1,0,0
LP001798,0,0,2,0,1,5819,5000,120,360,1,2,0,0
LP001800,0,0,1,1,1,2510,1983,140,180,1,0,1,1
LP001806,0,1,0,0,1,2965,5701,155,60,1,0,0,0
LP001807,0,0,2,0,0,6250,1300,108,360,1,2,0,0
LP001811,0,0,0,1,1,3406,4417,123,360,1,1,0,0
LP001813,0,1,0,0,0,6050,4333,120,180,1,0,1,1
LP001814,0,0,2,0,1,9703,0,112,360,1,0,0,0
LP001819,0,0,1,1,1,6608,0,137,180,1,0,0,0
LP001824,0,0,1,0,1,2882,1843,123,480,1,1,0,0
LP001825,0,0,0,0,1,1809,1868,90,360,1,0,0,0
LP001835,0,0,0,1,1,1668,3890,201,360,0,1,1,1
LP001836,1,1,2,0,1,3427,0,138,360,1,0,1,1
LP001841,0,1,0,1,0,2583,2167,104,360,1,2,0,0
LP001843,0,0,1,1,1,2661,7101,279,180,1,1,0,0
LP001844,0,1,0,0,0,16250,0,192,360,0,0,1,1
LP001846,1,1,3,0,1,3083,0,255,360,1,2,0,0
LP001849,0,1,0,1,1,6045,0,115,360,0,2,1,1
LP001854,0,0,3,0,1,5250,0,94,360,1,0,1,1
LP001859,0,0,0,0,1,14683,2100,304,360,1,2,1,1
LP001864,0,0,3,1,1,4931,0,128,360,,1,1,1
LP001865,0,0,1,0,1,6083,4250,330,360,,0,0,0
LP001868,0,1,0,0,1,2060,2209,134,360,1,1,0,0
LP001870,1,1,1,0,1,3481,0,155,36,1,1,1,1
LP001871,1,1,0,0,1,7200,0,120,360,1,2,0,0
LP001872,0,1,0,0,0,5166,0,128,360,1,1,0,0
LP001875,0,1,0,0,1,4095,3447,151,360,1,2,0,0
LP001877,0,0,2,0,1,4708,1387,150,360,1,1,0,0
LP001882,0,0,3,0,1,4333,1811,160,360,0,0,0,0
LP001883,1,1,0,0,,3418,0,135,360,1,2,1,1
LP001884,1,1,1,0,1,2876,1560,90,360,1,0,0,0
LP001888,1,1,0,0,1,3237,0,30,360,1,0,0,0
LP001891,0,0,0,0,1,11146,0,136,360,1,0,0,0
LP001892,0,1,0,0,1,2833,1857,126,360,1,2,0,0
LP001894,0,0,0,0,1,2620,2223,150,360,1,1,0,0
LP001896,0,0,2,0,1,3900,0,90,360,1,1,0,0
LP001900,0,0,1,0,1,2750,1842,115,360,1,1,0,0
LP001903,0,0,0,0,1,3993,3274,207,360,1,1,0,0
LP001904,0,0,0,0,1,3103,1300,80,360,1,0,0,0
LP001907,0,0,0,0,1,14583,0,436,360,1,1,0,0
LP001908,1,0,0,1,1,4100,0,124,360,,2,0,0
LP001910,0,1,1,1,0,4053,2426,158,360,0,0,1,1
LP001914,0,0,0,0,1,3927,800,112,360,1,1,0,0
LP001915,0,0,2,0,1,2301,985.7999878,78,180,1,0,0,0
LP001917,1,1,0,0,1,1811,1666,54,360,1,0,0,0
LP001922,0,0,0,0,1,20667,0,,360,1,2,1,1
LP001924,0,1,0,0,1,3158,3053,89,360,1,2,0,0
LP001925,1,1,0,0,0,2600,1717,99,300,1,1,1,1
LP001926,0,0,0,0,1,3704,2000,120,360,1,2,0,0
LP001931,1,1,0,0,1,4124,0,115,360,1,1,0,0
LP001935,0,1,0,0,1,9508,0,187,360,1,2,0,0
LP001936,0,0,0,0,1,3075,2416,139,360,1,2,0,0
LP001938,0,0,2,0,1,4400,0,127,360,0,1,1,1
LP001940,0,0,2,0,1,3153,1560,134,360,1,0,0,0
LP001945,1,1,,0,1,5417,0,143,480,0,0,1,1
LP001947,0,0,0,0,1,2383,3334,172,360,1,1,0,0
LP001949,0,0,3,0,,4416,1250,110,360,1,0,0,0
LP001953,0,0,1,0,1,6875,0,200,360,1,1,0,0
LP001954,1,0,1,0,1,4666,0,135,360,1,0,0,0
LP001955,1,1,0,0,1,5000,2541,151,480,1,2,1,1
LP001963,0,0,1,0,1,2014,2925,113,360,1,0,1,1
LP001964,0,0,0,1,1,1800,2934,93,360,0,0,1,1
LP001972,0,0,,1,1,2875,1750,105,360,1,1,0,0
LP001974,1,1,0,0,1,5000,0,132,360,1,2,0,0
LP001977,0,0,1,0,1,1625,1803,96,360,1,0,0,0
LP001978,0,1,0,0,1,4000,2500,140,360,1,2,0,0
LP001990,0,1,0,1,1,2000,0,,360,1,0,1,1
LP001993,1,1,0,0,1,3762,1666,135,360,1,2,0,0
LP001994,1,1,0,0,1,2400,1863,104,360,0,0,1,1
LP001996,0,1,0,0,1,20233,0,480,360,1,2,1,1
LP001998,0,0,2,1,1,7667,0,185,360,,2,0,0
LP002002,1,1,0,0,1,2917,0,84,360,1,1,0,0
LP002004,0,1,0,1,1,2927,2405,111,360,1,1,0,0
LP002006,1,1,0,0,1,2507,0,56,360,1,2,0,0
LP002008,0,0,2,0,0,5746,0,144,84,,2,0,0
LP002024,,0,0,0,1,2473,1843,159,360,1,2,1,1
LP002031,0,0,1,1,1,3399,1640,111,180,1,0,0,0
LP002035,0,0,2,0,1,3717,0,120,360,1,1,0,0
LP002036,0,0,0,0,1,2058,2134,88,360,,0,0,0
LP002043,1,1,1,0,1,3541,0,112,360,,1,0,0
LP002050,0,0,1,0,0,10000,0,155,360,1,2,1,1
LP002051,0,0,0,0,1,2400,2167,115,360,1,1,0,0
LP002053,0,0,3,0,1,4342,189,124,360,1,1,0,0
LP002054,0,0,2,1,1,3601,1590,,360,1,2,0,0
LP002055,1,1,0,0,1,3166,2985,132,360,,2,0,0
LP002065,0,0,3,0,1,15000,0,300,360,1,2,0,0
LP002067,0,0,1,0,0,8666,4983,376,360,0,2,1,1
LP002068,0,1,0,0,1,4917,0,130,360,0,2,0,0
LP002082,0,0,0,0,0,5818,2160,184,360,1,1,0,0
LP002086,1,0,0,0,1,4333,2451,110,360,1,0,1,1
LP002087,1,1,0,0,1,2500,0,67,360,1,0,0,0
LP002097,0,1,1,0,1,4384,1793,117,360,1,0,0,0
LP002098,0,1,0,0,1,2935,0,98,360,1,1,0,0
LP002100,0,1,,0,1,2833,0,71,360,1,0,0,0
LP002101,0,0,0,0,,63337,0,490,180,1,0,0,0
LP002103,,0,1,0,0,9833,1833,182,180,1,0,0,0
LP002106,0,0,,0,0,5503,4490,70,,1,1,0,0
LP002110,0,0,1,0,,5250,688,160,360,1,2,0,0
LP002112,0,0,2,0,0,2500,4600,176,360,1,2,0,0
LP002113,1,1,3,1,1,1830,0,,360,0,0,1,1
LP002114,1,1,0,0,1,4160,0,71,360,1,1,0,0
LP002115,0,0,3,1,1,2647,1587,173,360,1,2,1,1
LP002116,1,1,0,0,1,2378,0,46,360,1,2,1,1
LP002119,0,0,1,1,1,4554,1229,158,360,1,0,0,0
LP002126,0,0,3,1,1,3173,0,74,360,1,1,0,0
LP002128,0,0,2,0,,2583,2330,125,360,1,2,0,0
LP002129,0,0,0,0,1,2499,2458,160,360,1,1,0,0
LP002130,0,0,,1,1,3523,3230,152,360,0,2,1,1
LP002131,0,0,2,1,1,3083,2168,126,360,1,0,0,0
LP002137,0,0,0,0,1,6333,4583,259,360,,1,0,0
LP002138,0,0,0,0,1,2625,6250,187,360,1,2,0,0
LP002139,0,0,0,0,1,9083,0,228,360,1,1,0,0
LP002140,0,1,0,0,1,8750,4167,308,360,1,2,1,1
LP002141,0,0,3,0,1,2666,2083,95,360,1,2,0,0
LP002142,1,0,0,0,0,5500,0,105,360,0,2,1,1
LP002143,1,0,0,0,1,2423,505,130,360,1,1,0,0
LP002144,1,1,,0,1,3813,0,116,180,1,0,0,0
LP002149,0,0,2,0,1,8333,3167,165,360,1,2,0,0
LP002151,0,0,1,0,1,3875,0,67,360,1,0,1,1
LP002158,0,0,0,1,1,3000,1666,100,480,0,0,1,1
LP002160,0,0,3,0,1,5167,3167,200,360,1,1,0,0
LP002161,1,1,1,0,1,4723,0,81,360,1,1,1,1
LP002170,0,0,2,0,1,5000,3667,236,360,1,1,0,0
LP002175,0,0,0,0,1,4750,2333,130,360,1,0,0,0
LP002178,0,0,0,0,1,3013,3033,95,300,,0,0,0
LP002180,0,1,0,0,0,6822,0,141,360,1,2,0,0
LP002181,0,1,0,1,1,6216,0,133,360,1,2,1,1
LP002187,0,1,0,0,1,2500,0,96,480,1,1,1,1
LP002188,0,1,0,0,1,5124,0,124,,0,2,1,1
LP002190,0,0,1,0,1,6325,0,175,360,1,1,0,0
LP002191,0,0,0,0,1,19730,5266,570,360,1,2,1,1
LP002194,1,1,0,0,0,15759,0,55,360,1,1,0,0
LP002197,0,0,2,0,1,5185,0,155,360,1,1,0,0
LP002201,0,0,2,0,0,9323,7873,380,300,1,2,0,0
LP002205,0,1,1,0,1,3062,1987,111,180,0,0,1,1
LP002209,1,1,0,0,,2764,1459,110,360,1,0,0,0
LP002211,0,0,0,0,1,4817,923,120,180,1,0,0,0
LP002219,0,0,3,0,1,8750,4996,130,360,1,2,0,0
LP002223,0,0,0,0,1,4310,0,130,360,,1,0,0
LP002224,0,1,0,0,1,3069,0,71,480,1,0,1,1
LP002225,0,0,2,0,1,5391,0,130,360,1,0,0,0
LP002226,0,0,0,0,,3333,2500,128,360,1,1,0,0
LP002229,0,1,0,0,1,5941,4232,296,360,1,1,0,0
LP002231,1,1,0,0,1,6000,0,156,360,1,0,0,0
LP002234,0,1,0,0,0,7167,0,128,360,1,0,0,0
LP002236,0,0,2,0,1,4566,0,100,360,1,0,1,1
LP002237,0,1,1,0,,3667,0,113,180,1,0,0,0
LP002239,0,1,0,1,1,2346,1600,132,360,1,1,0,0
LP002243,0,0,0,1,1,3010,3136,,360,0,0,1,1
LP002244,0,0,0,0,1,2333,2417,136,360,1,0,0,0
LP002250,0,0,0,0,1,5488,0,125,360,1,2,0,0
LP002255,0,1,3,0,1,9167,0,185,360,1,2,0,0
LP002262,0,0,3,0,1,9504,0,275,360,1,2,0,0
LP002263,0,0,0,0,1,2583,2115,120,360,,0,0,0
LP002265,0,0,2,1,1,1993,1625,113,180,1,1,0,0
LP002266,0,0,2,0,1,3100,1400,113,360,1,0,0,0
LP002272,0,0,2,0,1,3276,484,135,360,,1,0,0
LP002277,1,1,0,0,1,3180,0,71,360,0,0,1,1
LP002281,0,0,0,0,1,3033,1459,95,360,1,0,0,0
LP002284,0,1,0,1,1,3902,1666,109,360,1,2,0,0
LP002287,1,1,0,0,1,1500,1800,103,360,0,1,1,1
LP002288,0,0,2,1,1,2889,0,45,180,0,0,1,1
LP002296,0,1,0,1,1,2755,0,65,300,1,2,1,1
LP002297,0,1,0,0,1,2500,20000,103,360,1,1,0,0
LP002300,1,1,0,1,1,1963,0,53,360,1,1,0,0
LP002301,1,1,0,0,0,7441,0,194,360,1,2,1,1
LP002305,1,1,0,0,1,4547,0,115,360,1,1,0,0
LP002308,0,0,0,1,1,2167,2400,115,360,1,0,0,0
LP002314,1,1,0,1,1,2213,0,66,360,1,2,0,0
LP002315,0,0,1,0,1,8300,0,152,300,0,1,1,1
LP002317,0,0,3,0,1,81000,0,360,360,0,2,1,1
LP002318,1,1,1,1,0,3867,0,62,360,1,1,1,1
LP002319,0,0,0,0,,6256,0,160,360,,0,0,0
LP002328,0,0,0,1,1,6096,0,218,360,0,2,1,1
LP002332,0,0,0,1,1,2253,2033,110,360,1,2,0,0
LP002335,1,0,0,1,1,2149,3237,178,360,0,1,1,1
LP002337,1,1,0,0,1,2995,0,60,360,1,0,0,0
LP002341,1,1,1,0,1,2600,0,160,360,1,0,1,1
LP002342,0,0,2,0,0,1600,20000,239,360,1,0,1,1
LP002345,0,0,0,0,1,1025,2773,112,360,1,2,0,0
LP002347,0,0,0,0,1,3246,1417,138,360,1,1,0,0
LP002348,0,0,0,0,1,5829,0,138,360,1,2,0,0
